gene,beta,odds_ratio,p_raw,log2fc,q_bh,replicates
TRAJ1,-10.037978985991177,4.37080183689289e-05,0.12761894786480654,-0.008683711750475548,0.26836997463333867,False
AE000662.93,-2.915578015587216,0.054172709311240214,0.540978950927016,-0.002576346387998911,0.6920868517528064,False
AE000662.92,-15.173525340353661,2.5717081054424344e-07,0.006740219122366063,-0.012607099600705805,0.032977269124797905,True
DAD1,0.4383144446790657,1.5500922490542774,8.204627469474962e-05,1.0093937382409575,0.002637163754913441,True
ABHD4,0.45363576845249515,1.5740245836437432,0.00021362079953804556,0.6975304882261426,0.0040740536820393514,True
OR6J1,-11.73865648823201,7.979326981381137e-06,0.032393267960919174,-0.006978031471386814,0.10378434655342257,False
OXA1L,0.5020779760846236,1.6521508361142414,0.00040172083618302635,0.6186744801122321,0.0055354198970826085,True
SLC7A7,0.42446982483909107,1.5287796837515206,0.000496917311028924,0.5129031675304732,0.0062071409973182765,True
MRPL52,0.3183655504886214,1.3748787569795908,0.002882618393694267,0.5745757745541962,0.018065883173393967,True
MMP14,0.18240339418204807,1.2000982088842367,0.03344725285392839,0.38899801322083416,0.10606580949719566,False
LRP10,0.6572162285692575,1.9294138045493323,9.135042351169202e-06,0.6503960883636886,0.0011046081374224618,True
REM2,0.021232716664897434,1.0214597346828356,0.9014014600771019,0.0032290685842597533,0.9524469907156972,False
RBM23,0.4363177501850977,1.5470002762852035,0.027914355666448024,0.21482907286055664,0.09299375463299255,False
PRMT5-AS1,-0.9339791274279254,0.392986850316183,0.28347674417707636,-0.02179633376199558,0.45743152285405725,False
PRMT5,0.37640744743192095,1.4570406803267681,0.003036274477997463,0.43338122862729067,0.018718980828970083,True
RP11-298I3.1,-1.1910257479150472,0.3039093697292047,0.022010925803941865,-0.08133077912735331,0.07841194945651027,False
HAUS4,0.4140435357997667,1.512922991763076,0.09530493813734467,0.12304297948516107,0.22047429756741085,False
AJUBA,0.19240718538466078,1.212163991951516,0.1243917863393446,0.1929322514966425,0.2636563059181005,False
RP11-298I3.4,0.16039114455660955,1.1739699731629252,0.5702512595102189,0.03156211921983276,0.7169308492715971,False
C14orf93,0.11420499527724956,1.1209818973270498,0.4245993777794238,0.1129076995380709,0.5935467291014352,False
PSMB5,0.4361704998029695,1.546772496674097,0.0006188747391866165,0.6041397776592907,0.006955862591023925,True
PSMB11,-0.6822731189331979,0.5054666995598449,0.7183432275822204,-0.0023257545170574587,0.8316336328647409,False
CDH24,0.04779930321771643,1.0489601112783435,0.5884158894066069,0.13172873199781598,0.7315241724354011,False
ACIN1,0.16665450618029645,1.1813460470357948,0.19462653344659775,0.19170048306445953,0.3575941302198317,False
C14orf119,0.4371113255377258,1.548228424824724,0.0007828139748747315,0.5807326583117014,0.007901329673227474,True
CEBPE,0.8262516981899688,2.2847387796655276,0.018673264865893897,0.1189772641155184,0.06915297788867981,False
SLC7A8,0.5869191633248956,1.7984391742682744,1.025215675785612e-05,0.669818460739168,0.0011444271050048103,True
HOMEZ,0.8152686641843854,2.25978271348055,6.815848005308628e-05,0.46892553599359044,0.0024667119425268226,True
PPP1R3E,0.40945664870056914,1.5059992761004122,0.012559902615260587,0.2874002861698224,0.05161148232303192,False
BCL2L2,0.6807556354069132,1.9753698278029639,7.5975380907082055e-06,0.6164546090951042,0.001052912767212752,True
BCL2L2-PABPN1,-0.9160848452546257,0.4000823631262536,0.04380515331592216,-0.08345075639409544,0.12865631820613274,False
PABPN1,0.016276664255806286,1.0164098507850579,0.8796714427803882,0.03806002383895368,0.9391247208192703,False
SLC22A17,0.3278137553652876,1.3879304536159618,0.004852262588115856,0.4767194777808115,0.026073582700721378,True
EFS,0.18914351355418402,1.2082143351746781,0.06168324657664135,0.3841877396222051,0.16312363672651153,False
IL25,-1.1271736673422446,0.32394754730087993,0.22930247094388823,-0.023681138430280566,0.39861706092439286,False
CMTM5,0.26921442654045885,1.3089357815283233,0.0013206073342999958,0.7828496501124764,0.010960673017493781,True
MYH6,-0.8357012725666542,0.4335703238229495,0.02878044522406461,-0.11246378561292536,0.0950922761029307,False
MYH7,-0.1226758699164634,0.8845503254711619,0.2146329063204775,-0.1520901260585128,0.3814160002818004,False
NGDN,0.45729321066539996,1.5797920282185347,0.0009056927824412141,0.5462731080597472,0.008608399692079327,True
ZFHX2,-0.016142833610240055,0.9839867636355552,0.9143564522396019,0.00816220934352252,0.9598777130192276,False
THTPA,0.4385193955174717,1.5504099743182451,0.03279350486880259,0.19964109893330884,0.10470587988328783,False
AP1G2,0.04266192068332473,1.043585020693558,0.7310349221178225,0.042973052871883244,0.8402918968172466,False
RP11-66N24.3,0.4513696941049527,1.5704617652426558,0.2677872053987378,0.04213895386704336,0.4407306436180287,False
JPH4,0.09965936365652073,1.104794520806129,0.12358658518904618,0.48194663978850283,0.26249105707958964,False
DHRS2,0.22280224352937608,1.249573438067553,0.06585347351397143,0.3662856704553483,0.1704900596769739,False
LINC00596,0.03211136802016529,1.0326325011387805,0.9875249199754434,-0.0005816768749094016,1.0,False
DHRS4,0.5180822425672785,1.6788050197705628,0.0003010077234325967,0.5500072151435664,0.004783724963240931,True
DHRS4L2,0.29451098875755444,1.3424697153629233,0.007045817245323408,0.46555304794487773,0.0340199595919067,True
LRRC16B,0.03165502049067842,1.0321613693561067,0.767714007176223,0.09282128690942004,0.8655802173358267,False
CPNE6,0.17780358718306732,1.1945906652731881,0.0022159216068403896,0.9287319202191577,0.01514696035728751,True
NRL,1.303095552960326,3.680672768357927,1.0829593339087944e-05,0.3182789219288762,0.0011565539897185103,True
PCK2,0.7708683619372247,2.1616425271172766,5.44766312030909e-07,0.7723693958937163,0.00047740755980214605,True
DCAF11,0.9189848075183056,2.50674426981772,3.202684920000699e-05,0.5098318264942376,0.0018176609500255394,True
RP11-468E2.6,15.807583515954313,7330714.285330704,0.2254653957418603,0.0020035890932418882,0.3943649400925922,False
FITM1,-0.3171317361976898,0.7282348139209645,0.19855682688705711,-0.08658208084783348,0.36251220673570794,False
PSME1,0.4581125921450271,1.5810870110181279,8.903333749313107e-05,0.8585766270713933,0.0027576271558683303,True
EMC9,0.3054419412573054,1.3572246840678854,0.016086626923910646,0.3613944716776225,0.061847372364495695,False
RP11-468E2.5,0.1069053805172398,1.1128289541976284,0.7361352267363934,0.01955473212324199,0.8438549182420956,False
PSME2,0.3340267879614661,1.3965805546195018,0.0006786233180259634,0.7498424900211447,0.007291136179340201,True
RNF31,0.29973664616021367,1.3495033638816438,0.03659516457930813,0.25851012233602244,0.11328895585637078,False
RP11-468E2.4,0.092488884566078,1.0969009489625239,0.7216200782659608,0.014960238844676677,0.8339641221971951,False
IRF9,-0.348642417032402,0.7056454119419259,0.012065463374649626,-0.32949832021393544,0.050026755401001134,False
REC8,0.12593671334004009,1.1342103856246086,0.1588098963897221,0.337053553983953,0.31149362601725755,False
IPO4,-2.098758638740425,0.12260853530937182,3.4975602914563824e-05,-0.22885445967227652,0.0018718791887497117,True
RP11-468E2.2,33.60428791609049,392786732886203.7,0.11020380971704784,0.0024992512188934846,0.24292614591471165,False
TSSK4,0.05858226900448487,1.060332214582148,0.6895394033964244,0.05079956822069209,0.8115458130500081,False
CHMP4A,-0.05227761142535719,0.9490653588811354,0.7950036265391184,-0.025772968593648526,0.8842738560683728,False
MDP1,-0.6628828023503266,0.5153634998468561,0.6586660883603319,-0.00776459467594702,0.7876395540708934,False
NEDD8,0.24307053029121478,1.2751585582513405,0.008669647293772797,0.5508810584393693,0.03946842028498919,True
GMPR2,0.6334624844387408,1.8841230448260085,0.00017488593871715206,0.6025818924115169,0.003714113635079303,True
TINF2,0.7039200300151184,2.0216621710656506,0.00011380835375076632,0.4932824960686313,0.0030632644158607343,True
TGM1,-0.29300501327439343,0.7460184006929014,0.0552088050254796,-0.21786284911314957,0.15136193913684118,False
RABGGTA,0.4730234470368723,1.6048390112545923,0.0027319939485244346,0.3830331103077542,0.01743840867400044,True
DHRS1,0.3397194556818922,1.4045534957829324,0.006567532491386659,0.43103123624337947,0.03233948076571755,True
NOP9,0.029231015798310844,1.0296624352910595,0.8351694702586729,0.03515990084430598,0.9112274171821532,False
LTB4R,0.03465105963797725,1.035258402324389,0.7137611118177212,0.06435814485539293,0.8286793207497203,False
ADCY4,-0.07645337847669709,0.9263961032795628,0.5779006426999205,-0.060733535087408086,0.7229410900522483,False
